date,description,category,type,amount
2025-10-01,Opening balance,opening,inflow,200000
2025-10-02,Customer invoice #101,sales,inflow,50000
2025-10-03,Office rent,rent,outflow,30000
2025-10-05,Employee salaries,salary,outflow,70000
2025-10-10,Customer invoice #102,sales,inflow,60000
2025-10-12,Raw materials purchase,inventory,outflow,45000
2025-10-15,Electricity bill,utilities,outflow,10000
2025-10-18,Customer invoice #103,sales,inflow,40000
2025-10-20,Marketing spend,marketing,outflow,15000
2025-10-25,Customer invoice #104,sales,inflow,55000
2025-10-28,Misc expenses,other,outflow,8000
